"layer" "value" "count" "percent"
1 0 55607 75.0583788891139
1 1 7712 10.4096645744753
1 2 8919 12.0388742660458
1 3 1160 1.56576904906526
1 4 620 0.836876560707296
1 5 53 0.0715394479314301
1 6 13 0.0175474117567659
1 7 1 0.00134980090436661
