"layer" "value" "count" "percent"
1 0 58441 54.582558910609
1 1 30611 28.5899746892191
1 2 11941 11.1526212068853
1 3 4461 4.16647208809272
1 4 1283 1.19829268976081
1 5 295 0.275523260701043
1 6 35 0.0326892004221577
1 7 2 0.00186795430983758
